Student,class
165730,1AI
165731,1AI
165732,1AI
165733,1AI
165734,1AI
165735,1AI
165736,1AI
165737,1AI
165738,1AI
165739,1AI
1657310,1AI
1657311,1AI
1657312,1AI
1657313,1AI
1657314,1AI
1657315,1AI
1657316,1AI
1657317,1AI
1657318,1AI
1657319,1AI
1657320,1AI
1657321,1AI
1657322,1AI
166730,1BI
166731,1BI
166732,1BI
166733,1BI
166734,1BI
166735,1BI
166736,1BI
166737,1BI
166738,1BI
166739,1BI
1667310,1BI
1667311,1BI
1667312,1BI
1667313,1BI
1667314,1BI
1667315,1BI
1667316,1BI
1667317,1BI
1667318,1BI
1667319,1BI
1667320,1BI
1667321,1BI
1667322,1BI
167730,1CI
167731,1CI
167732,1CI
167733,1CI
167734,1CI
167735,1CI
167736,1CI
167737,1CI
167738,1CI
167739,1CI
1677310,1CI
1677311,1CI
1677312,1CI
1677313,1CI
1677314,1CI
1677315,1CI
1677316,1CI
1677317,1CI
1677318,1CI
1677319,1CI
1677320,1CI
1677321,1CI
1677322,1CI
168730,1DI
168731,1DI
168732,1DI
168733,1DI
168734,1DI
168735,1DI
168736,1DI
168737,1DI
168738,1DI
168739,1DI
1687310,1DI
1687311,1DI
1687312,1DI
1687313,1DI
1687314,1DI
1687315,1DI
1687316,1DI
1687317,1DI
1687318,1DI
1687319,1DI
1687320,1DI
1687321,1DI
1687322,1DI
169730,1EI
169731,1EI
169732,1EI
169733,1EI
169734,1EI
169735,1EI
169736,1EI
169737,1EI
169738,1EI
169739,1EI
1697310,1EI
1697311,1EI
1697312,1EI
1697313,1EI
1697314,1EI
1697315,1EI
1697316,1EI
1697317,1EI
1697318,1EI
1697319,1EI
1697320,1EI
1697321,1EI
1697322,1EI
170760,1FL
170761,1FL
170762,1FL
170763,1FL
170764,1FL
170765,1FL
170766,1FL
170767,1FL
170768,1FL
170769,1FL
1707610,1FL
1707611,1FL
1707612,1FL
1707613,1FL
1707614,1FL
1707615,1FL
1707616,1FL
1707617,1FL
1707618,1FL
1707619,1FL
1707620,1FL
1707621,1FL
1707622,1FL
171760,1GL
171761,1GL
171762,1GL
171763,1GL
171764,1GL
171765,1GL
171766,1GL
171767,1GL
171768,1GL
171769,1GL
1717610,1GL
1717611,1GL
1717612,1GL
1717613,1GL
1717614,1GL
1717615,1GL
1717616,1GL
1717617,1GL
1717618,1GL
1717619,1GL
1717620,1GL
1717621,1GL
1717622,1GL
172760,1HL
172761,1HL
172762,1HL
172763,1HL
172764,1HL
172765,1HL
172766,1HL
172767,1HL
172768,1HL
172769,1HL
1727610,1HL
1727611,1HL
1727612,1HL
1727613,1HL
1727614,1HL
1727615,1HL
1727616,1HL
1727617,1HL
1727618,1HL
1727619,1HL
1727620,1HL
1727621,1HL
1727622,1HL
173760,1IL
173761,1IL
173762,1IL
173763,1IL
173764,1IL
173765,1IL
173766,1IL
173767,1IL
173768,1IL
173769,1IL
1737610,1IL
1737611,1IL
1737612,1IL
1737613,1IL
1737614,1IL
1737615,1IL
1737616,1IL
1737617,1IL
1737618,1IL
1737619,1IL
1737620,1IL
1737621,1IL
1737622,1IL
176690,1LE
176691,1LE
176692,1LE
176693,1LE
176694,1LE
176695,1LE
176696,1LE
176697,1LE
176698,1LE
176699,1LE
1766910,1LE
1766911,1LE
1766912,1LE
1766913,1LE
1766914,1LE
1766915,1LE
1766916,1LE
1766917,1LE
1766918,1LE
1766919,1LE
1766920,1LE
1766921,1LE
1766922,1LE
177690,1ME
177691,1ME
177692,1ME
177693,1ME
177694,1ME
177695,1ME
177696,1ME
177697,1ME
177698,1ME
177699,1ME
1776910,1ME
1776911,1ME
1776912,1ME
1776913,1ME
1776914,1ME
1776915,1ME
1776916,1ME
1776917,1ME
1776918,1ME
1776919,1ME
1776920,1ME
1776921,1ME
1776922,1ME
178690,1NE
178691,1NE
178692,1NE
178693,1NE
178694,1NE
178695,1NE
178696,1NE
178697,1NE
178698,1NE
178699,1NE
1786910,1NE
1786911,1NE
1786912,1NE
1786913,1NE
1786914,1NE
1786915,1NE
1786916,1NE
1786917,1NE
1786918,1NE
1786919,1NE
1786920,1NE
1786921,1NE
1786922,1NE
179690,1OE
179691,1OE
179692,1OE
179693,1OE
179694,1OE
179695,1OE
179696,1OE
179697,1OE
179698,1OE
179699,1OE
1796910,1OE
1796911,1OE
1796912,1OE
1796913,1OE
1796914,1OE
1796915,1OE
1796916,1OE
1796917,1OE
1796918,1OE
1796919,1OE
1796920,1OE
1796921,1OE
1796922,1OE
180690,1PE
180691,1PE
180692,1PE
180693,1PE
180694,1PE
180695,1PE
180696,1PE
180697,1PE
180698,1PE
180699,1PE
1806910,1PE
1806911,1PE
1806912,1PE
1806913,1PE
1806914,1PE
1806915,1PE
1806916,1PE
1806917,1PE
1806918,1PE
1806919,1PE
1806920,1PE
1806921,1PE
1806922,1PE
265730,2AI
265731,2AI
265732,2AI
265733,2AI
265734,2AI
265735,2AI
265736,2AI
265737,2AI
265738,2AI
265739,2AI
2657310,2AI
2657311,2AI
2657312,2AI
2657313,2AI
2657314,2AI
2657315,2AI
2657316,2AI
2657317,2AI
2657318,2AI
2657319,2AI
2657320,2AI
2657321,2AI
2657322,2AI
266730,2BI
266731,2BI
266732,2BI
266733,2BI
266734,2BI
266735,2BI
266736,2BI
266737,2BI
266738,2BI
266739,2BI
2667310,2BI
2667311,2BI
2667312,2BI
2667313,2BI
2667314,2BI
2667315,2BI
2667316,2BI
2667317,2BI
2667318,2BI
2667319,2BI
2667320,2BI
2667321,2BI
2667322,2BI
267730,2CI
267731,2CI
267732,2CI
267733,2CI
267734,2CI
267735,2CI
